A Classroom	22	What is a bulletin board for ? 	"for reading short news reports, and official statements about something important and news about an organization or a group"			board	กระดานปิดประกาศ								
A Classroom	23	How useful is a computer in class ? 	"for the information to be processed, computer-aided lessons, and writing a needed program"			computer	คอมพิวเตอร์								
A Classroom	24	How is an overhead projector used ? 	It is used to project and image onto a wall or screen so that many people can see it.			projector	เครื่องฉายสไลด์								
A Classroom	25	How special is a dry erase marker necessary for you ? 	The mark is erasable when dry.			a dry erase marker 	ปากกาสำหรับทำเครื่องหมายแบบลบได้เมื่อแห้ง								
A Classroom	26	How is an eraser used ? 	It is used to clean the board.			 eraser 	ที่ลบกระดาน								
A Classroom	27	Do you have to use a pencil and a pencil eraser in class ? 	"Yes, I do."			a pencil 	ดินสอ	a pencil eraser 	ยางลบดินสอ						
A Classroom	28	What kind of pencil sharpener do you like ? 	a small and pocketable one			pencil sharpener 	เครื่องเหลาดินสอ								
A Classroom	29	Is a marker or a marker pen necessary for you ? 	"Yes, it is."			a marker pen 	ปากกาสำหรับทำเครื่องหมาย								
A Classroom	30	How often do you read a textbook ? 	almost every day			a textbook 	ตำรา								
A Classroom	31	How useful is a workbook ? 	It has exercises to write answers to and helps them practise what they have learnt.			a workbook 	หนังสือแบบฝึกหัด								
A Classroom	32	What is a 3-ring binder or notebook for ? 	"a hard cover for holding sheets of paper, reports together"			a 3-ring binder 	"แฟ้มเอกสาร,  สมุดจดแบบเย็บสามห่วง"								
A Classroom	33	Where can you buy the notebook paper ?	at a stationery shop			the notebook paper 	"กระดาษ, สมุดบันทึก"								
A Classroom	34	What is a spiral notebook for ? 	for jotting down essential details			a spiral notebook 	สมุดจดที่มีสันเป็นเกลียว								
A Classroom	35	How useful is a dictionary ? 	for looking up required words and their use			a dictionary 	พจนานุกรม								
A Classroom	36	Why is a picture dictionary very attractive ? 	It's because it is full of colorful pictures and people can quickly understand the words.			a picture dictionary 	พจนานุกรมภาพ								
Studying	1	Where can students look up the word and read the definition ?	"in a dictionary, a computer and a talking dictionary"			look up the word 	ค้นหาคำศัพท์	read the definition 	อ่านคำจำกัดความหมาย						
Studying	2	How can you translate the words ? 	by looking up them in the dictionary			translate the words 	แปลคำ								
Studying	3	Is it necessary to check the pronunciation ? 	"Yes, it is."			check the pronunciation 	ตรวจดูการออกเสียง								
Studying	4	Why do you have to copy the words ? 	because I want to practise writing and correct spelling			copy the words 	คัดลอกคำ								
Studying	5	Is it sometimes good to draw a picture when learning new words ? 	"Yes, it is."			draw a picture 	วาดรูป								
Studying	6	Why is working with your classmates good for your study ? 	to practice cooperation and exchange of ideas and information			working with your classmates 	ทำงานกับเพื่อนร่วมชั้นเรียน								
Studying	7	Whom should you discuss a problem with in class ? 	my classmates and teacher			discuss a problem 	อภิปรายถึงปัญหา								
Studying	8	How can you brainstorm solutions or answers in class ? 	with a group of classmates observed by the teacher			brainstorm solutions 	ระดมพลังสมองหาทางออก	answers	คำตอบ						
Studying	9	Why is it good to work in a group ? 	because this can make us open-minded and broad-minded			work in a group 	ทำงานเป็นกลุ่ม								
Studying	10	Who should help a classmate ?	more experienced and resourceful students			help a classmate 	ช่วยเหลือเพื่อนร่วมชั้นเรียน								
Studying	11	Do you like working with a partner ?	"Yes, I do."	Why ?	Because I don't feel lonely.	working with a partner 	ทำงานเป็นคู่								
Studying	12	Do you like to take turns to ask a question and answer a question ? 	"Yes, I do. "	Why ?	It's very practical.	ask a question 	ถามคำตอบ	answer a question 	ตอบคำถาม						
Studying	13	When can you share a book ? 	when my classmate and I mutually help make out the contents			share a book 	"ใช้, ดูหนังสือด้วยกัน"								
Studying	14	Why is it helpful to dictate a sentence ?	to practise writing correctly			to dictate a sentence 	บอกประโยคให้เขียนตาม								
Studying	15	Which directions do you like: to fill in the blank or to choose the correct answer ?	to choose the correct answer			to fill in the blank	เติมในช่องว่าง	to choose the correct answer 	เลือกคำตอบที่ถูกต้อง						
Studying	16	Which method do you like to practise: to circle the answer or to cross out the word ? 	to circle the answer			to circle the answer	ทำวงกลมรอบคำตอบ	to cross out the word 	ขีดฆ่าคำ						
Studying	17	Where can you underline the word and match the answer ? 	in my workbook			underline the word 	ขีดเส้นใต้คำ	match the answer 	จับคู่คำ						
Studying	18	When can you learn to check the correct boxes and label the picture ?	when I do exercises			to check the correct boxes 	กาเครื่องหมายในกล่องที่ถูกต้อง	label the picture 	ใส่ป้ายระบุภาพ						
Studying	19	Where do you sometimes have to unscramble the words and put the sentences in order ? 	"in my workbook, my exercises "			unscramble the words	จัดระเบียบคำเหล่านี้	put the sentences in order 	จัดประโยคเหล่านี้ให้ถูกต้องตามลำดับ						
Studying	29	When do you have to take out a piece of paper?	when I have to send it as homework			take out a piece of paper	เอากระดาษอออกมาแผ่นนึง								
Studying	21	When do you put away your books ? 	when I finish my class each day			put away your books 	เก็บหนังสือต่าง ๆ ไว้								
Succeeding in school	1	Do you like to learn some ways to succeed ? 	"Yes, I do."			some ways to succeed 	วิธีที่จะบรรลุผลสำเร็จ								
Succeeding in school	2	Who should set goals in school ? 	the students and their classmates			set goals 	ตั้งเป้าหมาย								
Succeeding in school	3	How do you participate in class ? 	"on time, punctually or earlier"			participate in class 	เข้าร่วมงานในชั้นเรียน								
Succeeding in school	4	Why should we take notes while in class ? 	for later review or reconsideration			take notes while	จดบันทึกต่าง ๆ								
Succeeding in school	5	When should you study at home ? 	whenever I'm free and not tired or sleepy			study at home 	ขยันเรียนเองที่บ้าน								
Succeeding in school	6	What can help you pass a test ? 	by tutoring with classmates and much attempt			pass a test 	สอบผ่าน								
Succeeding in school	7	When should you ask for help from the teacher ? 	"when I'm confused by the lessons, cannot make out some difficulties and cannot find the answers or solutions"			ask for help 	ขอความช่วยเหลือ								
Succeeding in school	8	What can help you make progress ? 	"my firm intention, aim or anticipation"			make progress 	"ทำความก้าวหน้า, ทำความคืบหน้า"								
Succeeding in school	9	How can you get good grades ? 	"through my devotion, preparedness and good timing"			get good grades 	ทำให้ได้คะแนนดี								
Succeeding in school	10	When do you have to deal with a test booklet and an answer sheet ? 	while I'm taking a test			a test booklet 	สมุดข้อสอบ	an answer sheet 	แผ่นคำตอบ						
Succeeding in school	11	Why should you clear off your desk and work on your own during the exam ? 	in order to show my honesty and my own ability			clear off your desk 	"เก็บของออกไปจากโต๊ะของคุณให้หมด,"	work on your own during the exam 	ทำงานด้วยตนเอง						
Succeeding in school	12	How should you behave when you bubble in the answer and check your work ? 	I should be circumspect and have good reflection.			bubble in the answer 	ระบายลงในวงที่คำตอบ	check your work 	ตรวจดูงานของคุณ						
Succeeding in school	13	Did you ever erase the mistake and correct the mistake ? 	"Yes, I did."			erase the mistake 	ลบข้อที่ผิด	correct the mistake 	แก้ข้อที่ผิดให้ถูก						
Succeeding in school	14	How should you hand in your test ?	I should do it in time after revising it.			hand in your test 	ส่งคืนข้อสอบของคุณ								
A day at school	1	Should you turn on the lights when you enter the room ?	"Yes, I should if I am the first arrival."			turn on 	เปิดไฟ	enter the room 	เข้าไปในห้อง						
A day at school	2	What do some students do when they walk to class ? 	They have some talks and an interchange of ideas.			walk to class 	เดินไปที่ห้องเรียน								
A day at school	3	Why do some students have to run to class ? 	They arrive at school late.			run to class 	วิ่งไปที่ห้องเรียน								
A day at school	4	Who can help the teacher lift or pick up the books ? 	the students in class			lift	ยก	pick up	หยิบหนังสือขึ้นมา						
A day at school	5	Can you carry the books upstairs ? 	"Yes, I can."			carry	"ถือ, ขนหนังสือ"								
A day at school	6	Whom do you deliver the books to ? 	to my teacher			deliver the books to 	ส่งมอบหนังสือ								
A day at school	7	What do you do when you take a break ?	I drink some coffee and talk to my classmates.			take a break 	หยุดพัก								
A day at school	8	"Where can you eat, drink, buy a snack and have a conversation ? "	at the cafeteria and in the canteen			a snack 	ของเล่น								
A day at school	9	Why do they go back to class after taking a break ? 	They want to continue their study or put away their things before going home.			go back to class 	กลับไปที่ห้องเรียน								
A day at school	10	Where should they throw away trash ?	They should do so into the rubbish bin.			throw away trash 	โยนขยะทิ้ง								
A day at school	11	Who has to turn off the lights when students leave the room ?	the teacher and sometimes the students			off the lights 	ปิดไฟ	leave the room 	ออกไปจากห้อง						
Everyday Conversation	1	Whom can you start a conversation with ? 	"with my family members, neighbors and my classmates"			start a conversation 	เริ่มการสนทนา								
Everyday Conversation	2	What can you make a small talk about ? 	"about jobs, the weather, the traffic, movies"			make a small talk 	ทำการพูดคุยเรื่องเล็กน้อยทั่วไป								
Everyday Conversation	3	What do you compliment someone on ? 	"on their cooking, clothes, appearance etc."			compliment someone	เอ่ยปากชมใครบางคน								
Everyday Conversation	4	How can you offer something to someone ? 	"I can offer some help, drinks, comestibles, service, advice and ideas."			offer something to someone 	หยิบยื่นเสนอบางสิ่งบางอย่าง								
Everyday Conversation	5	What can you thank someone for ? 	"for their visit, compliments, help, work, service, the presents, some drinks, edibles, and some ideas"			thank someone 	ขอบคุณใครบางคน								
Everyday Conversation	6	What do you sometimes apologize for ? 	"for troubling someone, for late arrival, for some mistakes, for rude words, for interruption"			apologize	ขอโทษ								
Everyday Conversation	7	What do you say when you accept an apology ? 	I say that's OK.			accept an apology 	ยอมรับการขอโทษ								
Everyday Conversation	8	When do you sometimes invite someone ? 	"when I want some to join a party, my discussion,some comment, touring or sightseeing and an audience"			invite someone 	เชื้อเชิญใครบางคน								
Everyday Conversation	9	What do you say when you accept an invitation ? 	OK I'll be there. OK I can join it.			accept an invitation 	ยอมรับการเชิญชวน								
Everyday Conversation	10	What do you say when you decline an invitation ? 	Sorry. I can't. Sorry. I'm not free			decline an invitation 	ปฏิเสธการเชิญชวน								
Everyday Conversation	11	What do you say when you agree with someone ?	"I say “Yes, it is. Yes, I agree. Yes, it's true."			agree with 	เห็นด้วย								
Everyday Conversation	12	What do you say when you disagree with someone ? 	"No, I disagree. No, I don't think so. "			disagree with 	ไม่เห็นด้วย								
Everyday Conversation	13	How can you explain something to someone ? 	"by the words,in action, by drawing some pictures, with some photos, with some involved things"			explain something 	อธิบายบางสิ่งบางอย่าง								
Everyday Conversation	14	How can you check your understanding ?	"by repeating the question, by asking for more confirmation"			check your understanding 	ตรวจสอบความเข้าใจของคุณ								
Everyday Conversation	15	Do you like to request some ideas or advice while talking to someone ? 	"Yes, I do."			request 	"ขอ,ร้องขอ"								
Everyday Conversation	16	How can you accept a compliment from someone ? 	by thanking him or her			accept a compliment 	รับคำชม								
Weather	1	How is temperature measured ? 	It is measured by a thermometer.			temperature	อุณหภูมิ								
Weather	2	Are you accustomed to Fahrenheit scale or Celsius scale ? 	Celsius scale			Fahrenheit 	ฟาเรนไฮท์	Celsius	เซลเซียส						
Weather	3	Is it mostly hot or warm in Thailand ? 	It is mostly hot.			hot	ร้อน	warm 	อุ่น						
Weather	4	Do you like cool or cold climate ? 	I like cool climate	Why ?	for it is not hot or warm.	cool 	เย็น	cold 	หนาว						
Weather	5	Do you like freezing degrees ? 	"No, I don't, for it is extremely cold."			freezing 	เยือกแข็ง								
Weather	6	Where would you like to go when it is sunny and clear ?	"I would like to go to the zoo, go swimming, visit some waterfalls."			sunny 	มีแดด	clear 	ท้องฟ้าโปร่ง						
Weather	7	Do you like a cloudy sky ? 	"No, I don't. I think it may rain."			cloudy 	มีเมฆมาก								
Weather	8	What do you think about raining ? 	It is good for crops and farming but too much rain can cause floods.			raining	ฝนตก								
Weather	9	What do you think about snowing ? 	"It is cold for people,can make visibility worse for motorists and can cause car accidents."			snowing 	หิมะตก								
Weather	10	How can you know the weather conditions or a weather map ?	by watching the weather forecast programs on TV			weather conditions 	สภาวะต่าง ๆ ของอากาศ	a weather map 	แผนที่แสดงสภาพอากาศ						
Weather	11	When do we have to face heat wave ?	during summer			heat wave 	คลื่นความร้อน								
Weather	12	Where and why is it often smoggy ?	often in cities and it is a form of air pollution caused by traffic fumes			smoggy 	เป็นหมอกควัน								
Weather	13	Where is it hot and humid in the summer ? 	"on an island, at beaches and at sea sides"			humid 	ชื้น								
Weather	14	What will you do  if you face a thunderstorm and lightning ? 	I will run for a shelter to escape very heavy rain.			thunderstorm 	พายุฝนฟ้าคะนอง	lightning 	ฟ้าแลบ						
Weather	15	Do you like a windy day? Why or why not ? 	"Yes, I do, for I feel cool with a lot of wind."			windy 	ลมแรง								
Weather	16	Why don't most people like the dust storm ? 	because the clouds of dust can dirty their houses and areas			the dust storm 	พายุฝุ่น								
Weather	17	Is it good or bad when it is foggy ? 	It is good to be cool but it is bad for our visibility and driving.			foggy 	คลื้มหมอก								
Weather	18	Why don't  people like the hailstorm ? 	because it can damage the roofs of their houses and their vehicles			hailstorm 	พายุลูกเห็บ								
Weather	19	Why are icy roads dangerous for us ? 	"because the roads or the paths become slippery, badly cause car accidents and easily make us fall onto the ground."			icy 	เป็นน้ำแข็งลื่นไถล								
Weather	20	Where are there usually snowstorms and blizzards ? 	"the arctic zone, the Antarctic zone and the areas not far from them"			snowstorms 	พายุหิมะ	blizzards 	พายุหิมะรุนแรง						
The Telephone	1	Is the receiver or handset heavy or light ?	It is light	Why ?	It is comfortable use.	receiver	ชุดรับและโทรศัพท์	handset	หูโทรศัพท์						
The Telephone	2	What is the cord of the telephone like ?	It is like a coil spring.			cord 	สายของเครื่องโทรศัพท์								
The Telephone	3	Are the phone jack and the phone line electric ones ? 	"No, they aren't."			phone jack	แจ๊คเสียบสายโทรศัพท์	phone line 	สายโทรศัพท์						
The Telephone	4	What is the key pad for ? 	for pressing the phone numbers			key pad 	แป้นคีย์								
The Telephone	5	What are the star key and the pound key for ? 	"They are some additional, special functions such as transferring the line."			star key 	คีย์ดอกจัน	pound key 	คีย์เครื่องหมายสี่เหลี่ยม						
The Telephone	6	Does a cellular phone need to have an antenna ? 	"No, it doesn't need but some may have."			cellular phone 	โทรศัพท์มือถือ	antenna 	เสาอากาศ						
The Telephone	7	Why is the charger necessary ? 	because it is for loading a battery with electricity.			the charger 	เครื่องอัดไฟ								
The Telephone	8	"Which is better for clear communication, the strong signal or the weak signal ? "	the strong signals			strong signal 	สัญญาณแรงดี	weak signal 	สัญญาณอ่อน						
The Telephone	9	Where do you have to use the headset ? 	I have to use it with both ears.			the headset 	ชุดหูฟัง								
The Telephone	10	Why is the wireless headset more comfortable ? 	because it is a type of wireless communication			the wireless headset 	ชุดหูฟังแบบไร้สาย								
The Telephone	11	What are the two meanings of a calling card ?	"a visiting card, a phone card"			a calling card 	"บัตรโทรศัพท์, นามบัตร, บัตรผู้มาเยี่ยม"								
The Telephone	12	What is the access number for ? 	for reaching the person whom you want to telephone			the access number 	หมายเลขการเข้าถึง								
The Telephone	13	What is an answering machine for ? 	for connecting to your telephone to answer your calls and record any message left by the person calling			an answering machine 	เครื่องตอบรับโทรศัพท์								
The Telephone	14	Is the voice message barely audible above the noise ? 	"Yes, it is."			voice message 	ข้อความเสียง								
The Telephone	15	Is the directory assistance available all day long in Thailand ? 	"Yes, it is."			the directory assistance 	พนักงานบริการข้อมูลทางโทรศัพท์								
The Telephone	16	Is the text message readable for the blind ? 	"No, it is not."			text message 	ข้อความตัวอักษร								
The Telephone	17	How is the Internet phone call accessible to people ? 	by computer			the Internet phone call 	การโทรศัพท์ผ่านระบบอินเทอร์เน็ต								
The Telephone	18	How does an operator work ? 	He or she works on the telephone switchboard of a company or an organization.			an operator 	พนักงานรับโทรศัพท์								
The Telephone	19	Who mostly employs an automated phone system ? 	a company or an organization			automated phone system 	ระบบโทรศัพท์อัตโนมัติ								
The Telephone	20	Is the cordless phone rechargeable ? 	"Yes, it is."			cordless phone 	โทรศัพท์ไร้สาย								
The Telephone	21	Why is the pay phone less important ? 	because the hand phones are more popular			pay phone 	โทรศัพท์สาธารณะใช้บัตรหรือหยอดเหรียญ								
The Telephone	22	Is the TDD (telecommunication device for the deaf) widely seen in Thailand ? 	"No, it's not."			TDD	ระบบโทรศัพท์สำหรับคนหูหนวก								
The Telephone	23	What do you think about the smart phone ? 	It is multipurpose or versatile.			smart phone	โทรศัพท์อัฉริยะ								
The Telephone	24	Where can you pay the phone bill ? 	at any convenience shop			phone bill 	ใบเรียกเก็บเงินค่าโทรศัพท์								
The Telephone	25	Does the phone bill show the area code and the phone number ? 	"Yes, it does."			area code 	รหัสเขตพื้นที่โทรศัพท์	phone number 	หมายเลขโทรศัพท์						
The Telephone	26	Is the local call cheap or expensive ?	It's cheap.			local call 	การโทรในท้องถิ่น								
The Telephone	27	Does the long distance call include the country code and the city code ? 	"Yes, it does."			long distance call 	การโทรทางไกล	country code 	รหัสประเทศ	city code 	รหัสเมือง				
The Telephone	28	Why is English important for the international call ? 	"for easy, quick and correct understanding"			the international call 	การโทรระหว่างประเทศ								
The Telephone	29	Can the blind make a phone call ? 	Some can but others cannot.			make a phone call 	ทำการโทรศัพท์								
The Telephone	30	Why do you press “send” after you dial the phone number ? 	because I want to send the signal call			press “send” 	กดส่ง	dial the phone number 	ต่อหมายเลขโทร						
The Telephone	31	Is it risky for you to talk on the phone while driving?	"Yes, it is"	Why or why not ? 	"for I may lose concentration and caution, so I may have a car accident"	talk on the phone 	พูดในโทรศัพท์								
The Telephone	32	When do you “Hang up” or “Press end”  ? 	when I finish my talk to someone on the phone			“Hang up” 	วางหู	“Press end” 	กดจบ						
The Telephone	33	Why do some people make an emergency call ? 	"because they see an accident, a house on fire and a robbery"			make an emergency call 	โทรเร่งด่วนฉุกเฉิน								
The Telephone	34	"Why do you have to give your name, state the emergency and stay on the line ? "	because I want to give confirmation of that report.			give your name	แจ้งชื่อของคุณ	state the emergency 	แจ้งเหตุเร่งด่วนฉุกเฉินนั้น	stay on the line 	ถือสายรออยู่				
Numbers	1	"How do you read the following numbers: 11,21,12,23,13,37,14, 45,15,58,16,66,17,79,18,84,19,313,1600,9,001,12,00,17,522,65,203,150,000, 123,456, 1,234,567, 10,500,000, 210,950,000 and 1,000,000"	-												
Numbers	2	"Read the following ordinal numbers: 1st 2nd,3rd,9th, 12th ,14th ,20th,21st,30th,90th,100th,1000th "	"first, second, third, ninth, twelfth, fourteenth, twentieth, twenty-first, ninetieth, one hundredth,one thousandth."			ordinal numbers	เลขแสดงลำดับที่								
Numbers	3	"Read these Roman Numerals: I, II, III, IV, V, VI. "	"1, 2, 3, 4, 5,6"			Roman Numerals	เลขโรมัน								
Numbers	4	"How do you read these Roman Numerals ? : VII, VIII, IX, X, XV and XX?"	"7, 8, 9, 10, 15, 20"			Roman Numerals 	เลขโรมัน								
Numbers	5	"What are the cardinal numbers for these Roman Numerals: XXX, XL, L, C, D, M ? "	"30, 40, 50, 100, 500, 1000"			the cardinal numbers 	ตัวเลขจำนวนนับ								
Measurements	1	What is 30 divided by 6 ? 	5			divided	"แบ่ง,หาร"								
Measurements	2	Can you calculate the volume of each container ? 	"Yes, I can."			calculate 	คำนวณ								
Measurements	3	Is the speed of a ship measured in knots ? 	"Yes, it is."			measured 	"วัด,ตวง"								
Measurements	4	Can you convert your dollars into Euros ? 	"Yes, I can."			convert 	แปลค่า								
Measurements	5	Does mathematics concern fractions and decimals ? 	"Yes, it does."			fractions 	เศษส่วน	decimals 	ทศนิยม						
Measurements	6	Do you call 1=1.00 one whole ? 	"Yes, I do."			one whole 	หนึ่งจำนวนเต็ม								
Measurements	7	"Is, one half, 1/2 and 0.5 the same ? "	"Yes, it is."			one half	ครึ่งหนึ่ง								
Measurements	8	Does one third or 1/3 equal .333 ? 	"Yes, it does."			one third 	เศษหนึ่งส่วนสาม								
Measurements	9	What is the number of one fourth ? 	1/4 =2.5			one fourth 	เศษหนึ่งส่วนสี่								
Measurements	10	"Is one eighth, 1/8 or  .125 a very small amount ? "	"Yes, it is."			one eighth	เศษหนึ่งส่วนแปด								
Measurements	11	Can the figures be expressed as percents ? 	"Yes, they can."			percents 	เปอร์เซ็นต์								
Measurements	12	What is a calculator for ? 	for calculating with numbers			calculator 	เครื่องคิดเลข								
Measurements	13	Why is the decimal point used ? 	"It is used to separate the whole number from the tenths, hundredths etc."			decimal point 	จุดทศนิยม								
Measurements	14	Did you ever get 100 percent of the exam scores ? 	"No, I didn't."			100 percent 	100 เปอร์เซ็นต์								
Measurements	15	What do you do with 75 percent of your time each day ? 	for sleeping and working			75 percent 	75 เปอร์เซ็นต์								
Measurements	16	What do you do with 50 percent of your money for touring ? 	"for foods, drinks and renting a room"			50 percent 	50 เปอร์เซ็นต์								
Measurements	17	What do you do with 25 percent of your daily time ? 	for watching my favorite programs on TV			25 percent 	25 เปอร์เซนต์								
Measurements	18	How do you deal with 10 percent of your daily time? 	for physical exercising			10 percent 	10 เปอร์เซนต์								
Measurements	19	Can you see inches and centimeters on the ruler for measurement ? 	"Yes, I can."			inches 	นิ้ว	centimeters 	เซนติเมตร	the ruler 	ไม้บรรทัด	measurement 	การวัด		
Measurements	20	What dimensions can you measure? 	"the dimensions of a container, a room, furniture, an area etc. "			dimensions 	ขนาดสัดส่วน								
Measurements	21	"What are the adjectives of height, length, depth and width ? "	"high, long, deep, wide "			height	ความสูง	length	ความยาว	depth 	ความลึก	width 	ความกว้าง		
Measurements	22	How many inches are there in one foot ? 	12 inches = one foot			inches 	นิ้ว	foot 	ฟุต						
Measurements	23	How many feet are there in one yard ? 	three feet = one yard			feet 	พหูพจน์ของฟุต	yard 	หลา						
Measurements	24	How many yards are there in one mile ? 	1760 yards = 1 mile			yards 	หลา	mile 	ไมล์						
Measurements	25	How many centimeters does I inch have ?	1 inch = 2.54 centimeters			centimeters 	เซ็นติเมตร	inch 	นิ้ว						
Measurements	26	How many meters equal one yard ? 	One yard = .91 meters			meters 	เมตร	yard 	หลา						
Measurements	27	How many kilometers equal one mile ? 	One mile = 1.609 kilometers			kilometers 	กิโลเมตร	mile 	ไมล์						
Time	1	Is telling time difficult for you ? 	"No, it's not."			telling time 	การบอกเวลา								
Time	2	How many hours are we ahead of New York ? 	We're four hours ahead of New York.			hours 	ชั่วโมง								
Time	3	How many minutes will you be back ? 	in a few minutes			minutes 	นาที								
Time	4	Will the train take off in a second ? 	"Yes, it will,  No, it won't."			second 	วินาที								
Time	5	Do the classes start at 8 a.m. ? 	"Yes, they do."			a.m. 	Antemeridiem = ตั้งแต่เที่ยงคืนถึง 11 นาฬิกา 59 นาที 								
Time	6	Do you stop working at 3 p.m. ?	"No, at 5 p.m."			p.m. 	Postmeridiem = ตั้งแต่เที่ยงวันถึง 23 นาฬิกา 59 นาที 								
Time	7	What do you do at one o'clock (1:00) ? 	I stop my break and start my work.			one o'clock 	หนึ่งนาฬิกา								
Time	8	"Have you begun your work at 1:05 (one-oh-five, five after one) ? "	"Yes, I have."			"(one-oh-five, five after one) "	"หนึ่งนาฬิกาห้านาที, ห้านาทีหลังหนึ่งนาฬิกา"								
Time	9	"Should you have lunch at 10:10 (one ten, ten after one) ? "	"No, I shouldn't."			"(one ten, ten after one) "	"หนึ่งนาฬิกาสิบนาที, สิบนาทีหลังหนึ่งนาฬิกา"								
Time	10	Do you have dinner at 1:15 (one-fifteen/a quarter after one) ? 	"No, at 6 p.m."			(one-fifteen/a quarter after one) 	"หนึ่งนาฬิกาสิบห้านาที, สิบห้านาทีหลังหนึ่งนาฬิกา"								
Time	11	Do you get up at 1:20 (one-twenty/twenty after one) ? 	"No, I don't."			(one-twenty/twenty after one) 	"หนึ่งนาฬิกายี่สิบนาที, ยี่สิบนาทีหลังหนึ่งนาฬิกา"								
Time	12	Do you go to class at 1:30 (one-thirty/half past one) ? 	"No, I don't."			(one-thirty/half past one) 	"หนึ่งนาฬิกาสามสิบนาที, สามสิบนาทีหลังหนึ่งนาฬิกา"								
Time	13	Do you have supper at 1:40 (one-forty/twenty to two) ? 	"No, before going to bed."			(one-forty/twenty to two) 	"หนึ่งนาฬิกาสี่สิบนาที, อีกยี่สิบนาทีจะสองนาฬิกา"								
Time	14	Do you have breakfast at 1:45 (one-forty five/a quarter to two) ? 	"No, at 7 a.m."			(one-forty five/a quarter to two) 	"หนึ่งนาฬิกาสี่สิบห้านาที, อีกสิบห้านาทีจะสองนาฬิกา"								
Time	15	What times of a day make you feel good ? 	"Sunrise, morning, and evening can make me feel good"			times of a day 	เวลาต่างๆในหนึ่งวัน								
Time	16	Do you get up at sunrise ? 	"Yes, sometimes."			sunrise 	เวลาพระอาทิตย์ขึ้น								
Time	17	What keeps you busy from morning to night ? 	my work and routines			morning 	เช้า	night 	"เช้า,กลางคืน"						
Time	18	Do you have lunch at noon ?	"Yes, I do."			noon 	เที่ยงวัน								
Time	19	What do you do during two afternoon a week ? 	"I study arts, go shopping, do the housework."			afternoon 	บ่าย								
Time	20	"Every evening at sunset, where do you stay ?"	at home watching TV			sunset	เวลาพระอาทิตย์ตก								
Time	21	Where do you sleep at midnight ?	in my bedroom			midnight 	เที่ยงคืน								
Time	22	Why is early booking essential ? 	as space is limited			early 	เร็วก่อนกำหนด								
Time	23	Do you go to work or to class on time ? 	"Yes, I do."			on time 	ตรงตามกำหนดเวลา								
Time	24	Why are you late for work sometimes ? 	"because of traffic jam, heavy rain, or the delay of the bus service"			late 	สาย								
Time	25	Should we understand daylight saving time ? 	"Yes, we should."			daylight saving time 	เวลาที่ต้องปรับตามฤดูกาล								
Time	26	What is standard time ? 	the official time of a country or an area			standard time 	เวลามาตรฐาน								
Time	27	How different is Hawaii-Aleutian time and Alaska time ? 	Hawaii-Aleutian time is one hour earlier			Hawaii-Aleutian time 	เวลาในเขตฮาวายอลูเชิ่น	Alaska time 	เวลาในเขตอลาสกา						
